feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Microbiome_gene_K00533	antivirals	antivirals	-0.528873822382072	0.317604304646277	180	147	0.0980782088882678	0.900855574211745
Microbiome_gene_K00537	antivirals	antivirals	-0.65324681229538	0.288599024596513	180	156	0.025029192648533	0.900855574211745
Microbiome_gene_K00548	antivirals	antivirals	-0.513951712035968	0.287550881857035	180	167	0.075751865162476	0.900855574211745
Microbiome_gene_K00554	antivirals	antivirals	-0.540070494736577	0.281443825900573	180	169	0.0567301079577407	0.900855574211745
Microbiome_gene_K00556	antivirals	antivirals	-0.865944635569799	0.431300558183302	180	92	0.0477369973290543	0.900855574211745
Microbiome_gene_K00567	antifungals	antifungals	0.754085488406291	0.435806111745955	180	97	0.0869256132911652	0.900855574211745
Microbiome_gene_K00567	antivirals	antivirals	-1.11412542148006	0.419455878939611	180	97	0.00931747843151231	0.900855574211745
Microbiome_gene_K00573	antivirals	antivirals	-0.535173235628749	0.294731260841448	180	115	0.0721248819846403	0.900855574211745
Microbiome_gene_K00600	antibiotics	antibiotics	0.631205541466712	0.359629277266499	180	108	0.0822058922443036	0.900855574211745
Microbiome_gene_K00600	antivirals	antivirals	-0.745926636353676	0.408451539743058	180	108	0.0707122830801445	0.900855574211745
Microbiome_gene_K00603	probiotics	probiotics	-0.644331152737644	0.400070364960469	180	98	0.110668127531615	0.900855574211745
Microbiome_gene_K00606	antivirals	antivirals	-1.1729686230355	0.477393886172294	180	95	0.0159269150074756	0.900855574211745
Microbiome_gene_K00609	probiotics	probiotics	0.743417479903195	0.388822646745578	180	113	0.0585296790341282	0.900855574211745
Microbiome_gene_K00613	antivirals	antivirals	-0.606344674165405	0.308241542348307	180	109	0.0518345061540825	0.900855574211745
Microbiome_gene_K00627	antifungals	antifungals	0.754623656041235	0.446251511049727	180	100	0.0941098781251469	0.900855574211745
Microbiome_gene_K00627	antibiotics	antibiotics	0.693517657444111	0.387561502270383	180	100	0.0767307296410181	0.900855574211745
Microbiome_gene_K00632	antivirals	antivirals	-0.517485323399223	0.313183879929397	180	119	0.10121758018641	0.900855574211745
Microbiome_gene_K00634	probiotics	probiotics	-0.733992350217038	0.398762347589897	180	93	0.0690391773627719	0.900855574211745
Microbiome_gene_K00648	antivirals	antivirals	-1.01626772387707	0.411655398514097	180	83	0.0157461706200857	0.900855574211745
Microbiome_gene_K00652	antivirals	antivirals	-0.730630976795445	0.435227625496044	180	92	0.0967925938585978	0.900855574211745
Microbiome_gene_K00656	antibiotics	antibiotics	0.498526093232246	0.296907510065731	180	111	0.0960854962614101	0.900855574211745
Microbiome_gene_K00657	antifungals	antifungals	-1.02130690389593	0.54861952752301	180	104	0.0656269446159451	0.900855574211745
Microbiome_gene_K00657	antivirals	antivirals	-0.979784661581557	0.418845820309875	180	104	0.0213316056190572	0.900855574211745
Microbiome_gene_K00658	antivirals	antivirals	-0.783857398974627	0.440577244952797	180	100	0.0784118126637129	0.900855574211745
Microbiome_gene_K00666	antivirals	antivirals	-0.593184659440748	0.28969629893625	180	156	0.0423312795045714	0.900855574211745
Microbiome_gene_K00684	antivirals	antivirals	-0.538795574353892	0.291343384306643	180	150	0.0664434884008662	0.900855574211745
Microbiome_gene_K00688	antivirals	antivirals	-0.595402403044553	0.276652258426097	180	166	0.0328739952645822	0.900855574211745
Microbiome_gene_K00691	antivirals	antivirals	-0.569658207875943	0.308007712349103	180	142	0.0665415387403688	0.900855574211745
Microbiome_gene_K00697	antivirals	antivirals	-0.610868869928214	0.325001405974698	180	123	0.062630621357139	0.900855574211745
Microbiome_gene_K00700	antivirals	antivirals	-0.533923577236529	0.282376196838853	180	169	0.0604113993921984	0.900855574211745
Microbiome_gene_K00703	antivirals	antivirals	-0.525647683490396	0.290149590390836	180	171	0.0718487745569676	0.900855574211745
Microbiome_gene_K00705	antivirals	antivirals	-0.498757582974692	0.287647760335258	180	168	0.0848234031048104	0.900855574211745
Microbiome_gene_K00721	antivirals	antivirals	-0.517090572316894	0.293679659334141	180	165	0.0801946294124623	0.900855574211745
Microbiome_gene_K00748	antivirals	antivirals	-0.488186339219165	0.286218113813492	180	165	0.0900148046823869	0.900855574211745
Microbiome_gene_K00757	antivirals	antivirals	-0.52880541608546	0.287596111383529	180	167	0.0677890635127085	0.900855574211745
Microbiome_gene_K00760	antivirals	antivirals	-0.557588858243376	0.2827768187945	180	169	0.0503105389874576	0.900855574211745
Microbiome_gene_K00761	antivirals	antivirals	-0.540086468534395	0.276387356262668	180	169	0.0523911654974222	0.900855574211745
Microbiome_gene_K00762	antivirals	antivirals	-0.551669659108439	0.279293260643167	180	172	0.0498895803833531	0.900855574211745
Microbiome_gene_K00763	antivirals	antivirals	-0.623751206491196	0.297842101378119	180	170	0.0377672558658541	0.900855574211745
Microbiome_gene_K00764	antivirals	antivirals	-0.503603333289503	0.284620130954705	180	169	0.0786877548554439	0.900855574211745
Microbiome_gene_K00766	antivirals	antivirals	-0.723992624502104	0.306775248021322	180	169	0.0194507218803726	0.900855574211745
Microbiome_gene_K00767	antivirals	antivirals	-0.489300202196078	0.291493695370825	180	170	0.0951236507984161	0.900855574211745
Microbiome_gene_K00772	antivirals	antivirals	-0.815040880683144	0.353117757108676	180	92	0.0233641753884145	0.900855574211745
Microbiome_gene_K00782	antivirals	antivirals	-0.962442771014367	0.443274778489727	180	101	0.0323802215728543	0.900855574211745
Microbiome_gene_K00788	probiotics	probiotics	-1.16680798434711	0.441981166240435	180	96	0.00974029901391688	0.900855574211745
Microbiome_gene_K00790	probiotics	probiotics	0.922542193140782	0.483048637872758	180	113	0.0588075534499268	0.900855574211745
Microbiome_gene_K00791	antivirals	antivirals	-1.22465834610128	0.45819582758457	180	84	0.00913530590481253	0.900855574211745
Microbiome_gene_K00797	antivirals	antivirals	-0.79166527488753	0.455797941784052	180	96	0.0857925264218254	0.900855574211745
Microbiome_gene_K00798	antivirals	antivirals	-1.0440153483832	0.425733376590034	180	92	0.0161930933743725	0.900855574211745
Microbiome_gene_K00817	probiotics	probiotics	-1.07002205346152	0.656230464193915	180	77	0.107350738415834	0.900855574211745
Microbiome_gene_K00826	probiotics	probiotics	0.697248090132684	0.388546694537922	180	105	0.0757544797124823	0.900855574211745
Microbiome_gene_K00833	antivirals	antivirals	-1.1178264945538	0.417283725131	180	95	0.00878354958190555	0.900855574211745
Microbiome_gene_K00848	probiotics	probiotics	-0.972154813989313	0.365043618871049	180	94	0.00918852749661207	0.900855574211745
Microbiome_gene_K00848	antivirals	antivirals	-1.17756619485119	0.387653437454047	180	94	0.00312837437536312	0.900855574211745
Microbiome_gene_K00852	probiotics	probiotics	-0.76621257994882	0.461304228594347	180	102	0.099948516609018	0.900855574211745
Microbiome_gene_K00852	antivirals	antivirals	-0.827585852241773	0.428059504016621	180	102	0.0561096247266918	0.900855574211745
Microbiome_gene_K00857	antivirals	antivirals	-0.732205642344029	0.422993373832963	180	94	0.0869154790340179	0.900855574211745
Microbiome_gene_K00859	antifungals	antifungals	0.868884115704805	0.507529441557369	180	93	0.0904210678509275	0.900855574211745
Microbiome_gene_K00859	antivirals	antivirals	-0.843797343974754	0.492900150384821	180	93	0.0904366977622292	0.900855574211745
Microbiome_gene_K00860	probiotics	probiotics	-1.1556151713859	0.504325979517852	180	93	0.024327784149928	0.900855574211745
Microbiome_gene_K00860	antivirals	antivirals	-0.974099827161526	0.475338913574655	180	93	0.0434130087442302	0.900855574211745
